time,dataset,apnea_type,excerpt,file,test_acc,n_train,n_test,epochs
07/05/2021 14:19 PM,dreams,osa,3,results/results.csv,0.78125,96,64,20
07/05/2021 14:20 PM,dreams,osa,3,results/results.csv,0.7430555522441864,197,131,20
07/05/2021 14:20 PM,dreams,osa,3,results/results.csv,0.75,197,131,40
07/05/2021 14:21 PM,dreams,osa,3,results/results.csv,0.7937500029802322,197,131,20
07/05/2021 14:23 PM,dreams,osa,3,results/results.csv,0.759803906083107,197,131,20
07/05/2021 14:25 PM,dreams,osa,3,results/results.csv,0.6412037014961243,197,131,50
07/05/2021 14:26 PM,dreams,osa,3,results/results.csv,0.7208333313465118,197,131,20
07/05/2021 14:28 PM,dreams,osa,3,results/results.csv,0.7750000059604645,197,131,20
07/05/2021 14:30 PM,dreams,osa,3,results/results.csv,0.7270833253860474,197,131,20
07/05/2021 14:31 PM,dreams,osa,3,results/results.csv,0.6479166448116302,197,131,30
07/05/2021 14:32 PM,dreams,osa,3,results/results.csv,0.7270833253860474,197,131,20
07/05/2021 14:32 PM,dreams,osa,3,results/results.csv,0.7750000059604645,197,131,20
07/05/2021 14:38 PM,dreams,osa,3,results/results.csv,0.7395833134651184,197,131,20
07/05/2021 14:40 PM,dreams,osa,3,results/results.csv,0.8062500059604645,197,131,20
07/05/2021 14:41 PM,dreams,osa,3,results/results.csv,0.6541666388511658,197,131,20
07/05/2021 14:42 PM,dreams,osa,3,results/results.csv,0.7999999970197678,197,131,20
07/05/2021 14:53 PM,dreams,osa,3,results/results.csv,0.7208333313465118,197,131,20
07/05/2021 14:56 PM,dreams,osa,3,results/results.csv,0.8312499970197678,197,131,20
07/05/2021 14:59 PM,dreams,osa,3,results/results.csv,0.8125,150,100,20
07/05/2021 15:02 PM,dreams,osa,3,results/results.csv,0.7406249940395355,433,289,20
07/05/2021 15:06 PM,dreams,osa,3,results/results.csv,0.699999988079071,433,289,30
07/05/2021 15:07 PM,dreams,osa,3,results/results.csv,0.7937500029802322,433,289,20
07/05/2021 15:08 PM,dreams,osa,3,results/results.csv,0.6328125,150,100,20
07/05/2021 15:09 PM,dreams,osa,3,results/results.csv,0.7645833194255829,433,289,20
07/05/2021 15:16 PM,dreams,osa,1,results/results.csv,0.625,242,162,20
07/05/2021 15:17 PM,dreams,osa,1,results/results.csv,0.884615384042263,38,26,20 (osa 1, 19000-25000)
07/05/2021 15:19 PM,dreams,osa,1,results/results.csv,0.6681743264198303,173,115,20
07/05/2021 15:20 PM,dreams,osa,1,results/results.csv,0.7151785492897034,203,135,30
07/05/2021 15:22 PM,dreams,osa,1,results/results.csv,0.6830357015132904,203,135,30
07/05/2021 15:32 PM,dreams,osa,3,results/results.csv,0.7161458432674408,486,324,20
07/05/2021 15:35 PM,dreams,osa,1,results/results.csv,0.7506878972053528,271,181,20
07/05/2021 15:37 PM,dreams,osa,1,results/results.csv,0.659007340669632,242,162,20
07/05/2021 15:42 PM,dreams,osa,1,results/results.csv,0.6467633843421936,308,206,20
07/05/2021 15:46 PM,dreams,osa,1,results/results.csv,0.6035539209842682,242,162,20
07/05/2021 16:00 PM,dreams,osa,1,results/results.csv,0.4901960492134094,242,162,30
07/05/2021 16:02 PM,dreams,osa,3,results/results.csv,0.7175189554691315,433,289,20
07/05/2021 16:04 PM,dreams,osa,1,results/results.csv,0.581250011920929,38,26,30
07/05/2021 16:12 PM,patchAllisterW,osa,1,results/results.csv,0.2916666269302368,20,14,15
07/05/2021 16:13 PM,patchAllisterW,osa,123,results/results.csv,0.6011904776096344,77,51,15
07/05/2021 16:15 PM,patchAllisterW,osa,123,results/results.csv,0.75,102,26,15
